[00141] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=142 r=nanpx]
[00142] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=143 r=nanpx]
[00143] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=144 r=nanpx]
[00144] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=145 r=nanpx]
[00145] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=146 r=nanpx]
[00146] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=147 r=nanpx]
[00147] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=148 r=nanpx]
[00148] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=149 r=nanpx]
[00149] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=150 r=nanpx]
[00150] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=151 r=nanpx]
[00151] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=152 r=nanpx]
[00152] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=153 r=nanpx]
[00153] DAY      meanV=172.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=154 r=nanpx]
[00154] DAY      meanV=172.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=155 r=nanpx]
[00155] DAY      meanV=172.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=156 r=nanpx]
[00156] DAY      meanV=172.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=157 r=nanpx]
[00157] DAY      meanV=172.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=158 r=nanpx]
[00158] DAY      meanV=172.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=159 r=nanpx]
[00159] DAY      meanV=172.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=160 r=nanpx]
[00160] DAY      meanV=171.6 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=161 r=nanpx]
[00161] DAY      meanV=171.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=162 r=nanpx]
[00162] DAY      meanV=171.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=163 r=nanpx]
[00163] DAY      meanV=171.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=164 r=nanpx]
[00164] DAY      meanV=171.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=165 r=nanpx]
[00165] DAY      meanV=171.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=166 r=nanpx]
[00166] DAY      meanV=171.5 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=167 r=nanpx]
[00167] DAY      meanV=171.6 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=168 r=nanpx]
[00168] DAY      meanV=171.6 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=169 r=nanpx]
[00169] DAY      meanV=171.6 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=170 r=nanpx]
[00170] DAY      meanV=171.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=171 r=nanpx]
[00171] DAY      meanV=171.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=172 r=nanpx]
[00172] DAY      meanV=171.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=173 r=nanpx]
[00173] DAY      meanV=171.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=174 r=nanpx]
[00174] DAY      meanV=171.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=175 r=nanpx]
[00175] DAY      meanV=171.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=176 r=nanpx]
[00176] DAY      meanV=171.7 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=177 r=nanpx]
[00177] DAY      meanV=171.7 EO=1 IR=1 | fused[EO+IR:0.61] | tracks[-] reg[warmup n=178 r=nanpx]
[00178] DAY      meanV=171.7 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[-] reg[warmup n=179 r=nanpx]
[00179] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(644,782)] reg[warmup n=180 r=nanpx]
