[00134] DAY      meanV=172.9 EO=3 IR=1 | fused[EO+IR:0.67] | tracks[#1@(188,772)] reg[LOCKED n=51 r=nanpx]
[00135] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(194,773)] reg[LOCKED n=52 r=nanpx]
[00136] DAY      meanV=173.0 EO=4 IR=1 | fused[EO+IR:0.62] | tracks[#1@(200,773)] reg[LOCKED n=52 r=nanpx]
[00137] DAY      meanV=173.0 EO=3 IR=1 | fused[EO+IR:0.63] | tracks[#1@(207,772)] reg[LOCKED n=52 r=nanpx]
[00138] DAY      meanV=173.0 EO=4 IR=1 | fused[EO+IR:0.63] | tracks[#1@(214,774)] reg[LOCKED n=52 r=nanpx]
[00139] DAY      meanV=173.0 EO=4 IR=1 | fused[EO+IR:0.70] | tracks[#1@(218,774)] reg[LOCKED n=52 r=nanpx]
[00140] DAY      meanV=173.0 EO=3 IR=1 | fused[EO+IR:0.66] | tracks[#1@(225,773)] reg[LOCKED n=52 r=nanpx]
[00141] DAY      meanV=173.0 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(236,773)] reg[LOCKED n=52 r=nanpx]
[00142] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(240,773)] reg[LOCKED n=52 r=nanpx]
[00143] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(247,773)] reg[LOCKED n=53 r=nanpx]
[00144] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(254,773)] reg[LOCKED n=53 r=nanpx]
[00145] DAY      meanV=173.0 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(261,773)] reg[LOCKED n=53 r=nanpx]
[00146] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(270,772)] reg[LOCKED n=54 r=nanpx]
[00147] DAY      meanV=172.9 EO=4 IR=1 | fused[EO+IR:0.63] | tracks[#1@(277,772)] reg[LOCKED n=54 r=nanpx]
[00148] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(289,773)] reg[LOCKED n=55 r=nanpx]
[00149] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(301,772)] reg[LOCKED n=55 r=nanpx]
[00150] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(304,772)] reg[LOCKED n=55 r=nanpx]
[00151] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(314,773)] reg[LOCKED n=56 r=nanpx]
[00152] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(324,772)] reg[LOCKED n=56 r=nanpx]
[00153] DAY      meanV=172.8 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(335,773)] reg[LOCKED n=56 r=nanpx]
[00154] DAY      meanV=172.8 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(348,774)] reg[LOCKED n=57 r=nanpx]
[00155] DAY      meanV=172.8 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(355,774)] reg[LOCKED n=58 r=nanpx]
[00156] DAY      meanV=172.8 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(364,775)] reg[LOCKED n=58 r=nanpx]
[00157] DAY      meanV=172.8 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(379,776)] reg[LOCKED n=59 r=nanpx]
